municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile,median_income_2014
Sanger,Denton,9721,98027,33.3631705,-97.1739027,"[33.3631705, -97.1739027]",east,https://directory.tml.org/profile/city/630,53862
Vidor,Orange,9678,65908,30.1316001,-94.0154541,"[30.1316001, -94.0154541]",east,https://directory.tml.org/profile/city/530,42066
Dayton,Liberty,9375,57174,30.0466051,-94.8852026,"[30.0466051, -94.8852026]",east,https://directory.tml.org/profile/city/1231,51477
Jacinto City,Harris,9318,63539,29.7677258,-95.2338319,"[29.7677258, -95.2338319]",east,https://directory.tml.org/profile/city/984,30484
Commerce,Hunt,9282,58326,33.2472808,-95.9114704,"[33.2472808, -95.9114704]",east,https://directory.tml.org/profile/city/1200,19301
Aransas Pass,Nueces,8779,59337,27.909532,-97.1505561,"[27.909532, -97.1505561]",east,https://directory.tml.org/profile/city/1291,39040
Wharton,Wharton,8736,56522,29.3116366,-96.1027371,"[29.3116366, -96.1027371]",east,https://directory.tml.org/profile/city/550,27855
Joshua,Johnson,8667,76226,32.4615291,-97.3880731,"[32.4615291, -97.3880731]",east,https://directory.tml.org/profile/city/995,52094
Liberty,Liberty,8636,57174,30.057993,-94.7954783,"[30.057993, -94.7954783]",east,https://directory.tml.org/profile/city/1049,42931
Hillsboro,Hill,8548,52495,32.0109886,-97.1300061,"[32.0109886, -97.1300061]",east,https://directory.tml.org/profile/city/1168,30780
Cleveland,Liberty,8503,57174,30.34132,-95.0854885,"[30.34132, -95.0854885]",east,https://directory.tml.org/profile/city/1187,31277
Prairie View,Waller,8420,65437,30.0932737,-95.9877339,"[30.0932737, -95.9877339]",east,https://directory.tml.org/profile/city/781,28929
Navasota,Grimes,8417,52540,30.3879845,-96.0877349,"[30.3879845, -96.0877349]",east,https://directory.tml.org/profile/city/920,43198
Richland Hills,Tarrant,8407,71399,32.8091672,-97.2316869,"[32.8091672, -97.2316869]",east,https://directory.tml.org/profile/city/418,51347
Kaufman,Kaufman,8388,73660,32.5890238,-96.3088693,"[32.5890238, -96.3088693]",east,https://directory.tml.org/profile/city/1001,37500
Los Fresnos,Cameron,8215,46436,26.0717438,-97.4763733,"[26.0717438, -97.4763733]",east,https://directory.tml.org/profile/city/848,42986
Cuero,DeWitt,8106,54279,29.0938652,-97.2891568,"[29.0938652, -97.2891568]",east,https://directory.tml.org/profile/city/1222,34181
Kirby,Bexar,8087,63014,29.4596134,-98.3812895,"[29.4596134, -98.3812895]",east,https://directory.tml.org/profile/city/1012,48545
Floresville,Wilson,8050,78794,29.1335781,-98.1561192,"[29.1335781, -98.1561192]",east,https://directory.tml.org/profile/city/1079,45933
Hitchcock,Galveston,7642,77627,29.3482905,-95.0160368,"[29.3482905, -95.0160368]",east,https://directory.tml.org/profile/city/953,45434
River Oaks,Tarrant,7440,71399,32.7770737,-97.394463,"[32.7770737, -97.394463]",east,https://directory.tml.org/profile/city/810,42622
Jasper,Jasper,7423,50038,30.920823,-93.9968812,"[30.920823, -93.9968812]",east,https://directory.tml.org/profile/city/988,21227
Marble Falls,Burnet,7423,72510,30.5782297,-98.2729184,"[30.5782297, -98.2729184]",east,https://directory.tml.org/profile/city/865,36567
Gonzales,Gonzales,7196,48164,29.5016257,-97.4524926,"[29.5016257, -97.4524926]",east,https://directory.tml.org/profile/city/1116,37210
Sealy,Austin,6956,68150,29.7807878,-96.1571833,"[29.7807878, -96.1571833]",east,https://directory.tml.org/profile/city/647,44042
Willis,Montgomery,6939,87831,30.4249276,-95.4799418,"[30.4249276, -95.4799418]",east,https://directory.tml.org/profile/city/561,36069
Mexia,Limestone,6868,50381,31.6798895,-96.482203,"[31.6798895, -96.482203]",east,https://directory.tml.org/profile/city/888,34162
Silsbee,Hardin,6864,67183,30.3490976,-94.1779624,"[30.3490976, -94.1779624]",east,https://directory.tml.org/profile/city/661,35313
La Feria,Cameron,6805,46436,26.1591043,-97.824093,"[26.1591043, -97.824093]",east,https://directory.tml.org/profile/city/1021,29130
Nolanville,Bell,6745,58878,31.0787888,-97.6055693,"[31.0787888, -97.6055693]",east,https://directory.tml.org/profile/city/935,42439
Keene,Johnson,6728,76226,32.3968092,-97.3239042,"[32.3968092, -97.3239042]",east,https://directory.tml.org/profile/city/1002,32314
Burnet,Burnet,6710,72510,30.7582376,-98.2283585,"[30.7582376, -98.2283585]",east,https://directory.tml.org/profile/city/1370,47818
Lindale,Smith,6660,62903,32.5156971,-95.4093998,"[32.5156971, -95.4093998]",east,https://directory.tml.org/profile/city/1050,50778
Carthage,Panola,6562,54244,32.1573841,-94.3374199,"[32.1573841, -94.3374199]",east,https://directory.tml.org/profile/city/1386,45323
Gun Barrel City,Henderson,6506,50348,32.3309699,-96.1515623,"[32.3309699, -96.1515623]",east,https://directory.tml.org/profile/city/1136,37517
Crockett,Houston,6307,45603,31.3177591,-95.4571905,"[31.3177591, -95.4571905]",east,https://directory.tml.org/profile/city/1216,22285
Gladewater,Gregg,6230,57608,32.5365333,-94.9427168,"[32.5365333, -94.9427168]",east,https://directory.tml.org/profile/city/1110,40776
Hempstead,Waller,6179,65437,30.0974405,-96.0782918,"[30.0974405, -96.0782918]",east,https://directory.tml.org/profile/city/1157,35170
Van Alstyne,Grayson,6139,62678,33.4214995,-96.5772109,"[33.4214995, -96.5772109]",east,https://directory.tml.org/profile/city/524,47061
Edna,Jackson,6009,60666,28.9785947,-96.6460877,"[28.9785947, -96.6460877]",east,https://directory.tml.org/profile/city/1268,46875
Everman,Tarrant,5998,71399,32.630968,-97.2891817,"[32.630968, -97.2891817]",east,https://directory.tml.org/profile/city/1067,37212
Alvarado,Johnson,5910,76226,32.4065312,-97.2116782,"[32.4065312, -97.2116782]",east,https://directory.tml.org/profile/city/1723,43026
Yoakum,Lavaca,5891,54421,29.2877469,-97.151931,"[29.2877469, -97.151931]",east,https://directory.tml.org/profile/city/576,37460
Wake Village,Bowie,5841,52934,33.4267911,-94.1063014,"[33.4267911, -94.1063014]",east,https://directory.tml.org/profile/city/533,45830
Wilmer,Dallas,5833,63549,32.5971558,-96.6872571,"[32.5971558, -96.6872571]",east,https://directory.tml.org/profile/city/563,37833
Elsa,Hidalgo,5664,44260,26.2934048,-97.9930588,"[26.2934048, -97.9930588]",east,https://directory.tml.org/profile/city/1277,22298
Hutchins,Dallas,5614,63549,32.6492999,-96.7130521,"[32.6492999, -96.7130521]",east,https://directory.tml.org/profile/city/971,36866
Luling,Caldwell,5545,60063,29.6805066,-97.647498,"[29.6805066, -97.647498]",east,https://directory.tml.org/profile/city/854,39052
Brookshire,Waller,5533,65437,29.7860643,-95.9510661,"[29.7860643, -95.9510661]",east,https://directory.tml.org/profile/city/620,28308
Rockdale,Milam,5529,53320,30.6554759,-97.0013744,"[30.6554759, -97.0013744]",east,https://directory.tml.org/profile/city/816,29323
Sinton,San Patricio,5510,58227,28.0366818,-97.5091611,"[28.0366818, -97.5091611]",east,https://directory.tml.org/profile/city/663,39268
Marlin,Falls,5474,46173,31.3062874,-96.8980439,"[31.3062874, -96.8980439]",east,https://directory.tml.org/profile/city/868,26631
Rusk,Cherokee,5433,48664,31.7960064,-95.1502214,"[31.7960064, -95.1502214]",east,https://directory.tml.org/profile/city/835,35417
Atlanta,Cass,5427,42896,33.1137419,-94.1643537,"[33.1137419, -94.1643537]",east,https://directory.tml.org/profile/city/1299,36237
Cameron,Milam,5418,53320,30.8532454,-96.9769304,"[30.8532454, -96.9769304]",east,https://directory.tml.org/profile/city/1378,36294
Sansom Park,Tarrant,5359,71399,32.8059619,-97.4030744,"[32.8059619, -97.4030744]",east,https://directory.tml.org/profile/city/635,38368
Center,Shelby,5147,43244,31.7952962,-94.1802599,"[31.7952962, -94.1802599]",east,https://directory.tml.org/profile/city/412,26212
Giddings,Lee,5129,59469,30.1827159,-96.936371,"[30.1827159, -96.936371]",east,https://directory.tml.org/profile/city/1108,36406
Port Isabel,Cameron,5108,46436,26.0734119,-97.2085844,"[26.0734119, -97.2085844]",east,https://directory.tml.org/profile/city/773,32415
Hudson,Angelina,5107,50620,31.3295214,-94.7820591,"[31.3295214, -94.7820591]",east,https://directory.tml.org/profile/city/964,34547
Gilmer,Upshur,5029,51634,32.7287472,-94.9424379,"[32.7287472, -94.9424379]",east,https://directory.tml.org/profile/city/1109,46618
Mineola,Wood,5017,53485,32.6631884,-95.4882896,"[32.6631884, -95.4882896]",east,https://directory.tml.org/profile/city/893,40266
Progreso,Hidalgo,4952,44260,26.0922991,-97.9572242,"[26.0922991, -97.9572242]",east,https://directory.tml.org/profile/city/1738,29441
Pilot Point,Denton,4886,98027,33.396503,-96.9605608,"[33.396503, -96.9605608]",east,https://directory.tml.org/profile/city/760,50666
Lake Worth,Tarrant,4667,71399,32.8097891,-97.4427659,"[32.8097891, -97.4427659]",east,https://directory.tml.org/profile/city/1033,47004
La Joya,Hidalgo,4660,44260,26.2470165,-98.4814092,"[26.2470165, -98.4814092]",east,https://directory.tml.org/profile/city/1929,33713
Madisonville,Madison,4564,48251,30.9499111,-95.9116188,"[30.9499111, -95.9116188]",east,https://directory.tml.org/profile/city/858,35430
Canton,Van Zandt,4561,59929,32.5565244,-95.8632996,"[32.5565244, -95.8632996]",east,https://directory.tml.org/profile/city/1381,39325
Diboll,Angelina,4560,50620,31.1922292,-94.7807858,"[31.1922292, -94.7807858]",east,https://directory.tml.org/profile/city/1245,44960
New Boston,Bowie,4550,52934,33.4598415,-94.4154787,"[33.4598415, -94.4154787]",east,https://directory.tml.org/profile/city/925,31655
Hearne,Robertson,4538,50816,30.8785238,-96.5930258,"[30.8785238, -96.5930258]",east,https://directory.tml.org/profile/city/1152,26452
Falfurrias,Brooks,4461,33460,27.2269872,-98.1441714,"[27.2269872, -98.1441714]",east,https://directory.tml.org/profile/city/1069,18284
La Grange,Fayette,4449,64711,29.9055033,-96.876647,"[29.9055033, -96.876647]",east,https://directory.tml.org/profile/city/1023,35278
Pittsburg,Camp,4416,51024,32.9954021,-94.9657688,"[32.9954021, -94.9657688]",east,https://directory.tml.org/profile/city/764,27721
Palacios,Matagorda,4357,50054,28.7080461,-96.217467,"[28.7080461, -96.217467]",east,https://directory.tml.org/profile/city/461,33125
Caldwell,Burleson,4350,57469,30.5313152,-96.6930303,"[30.5313152, -96.6930303]",east,https://directory.tml.org/profile/city/1375,43831
Rio Bravo,Webb,4326,50865,27.3641887,-99.4800415,"[27.3641887, -99.4800415]",east,https://directory.tml.org/profile/city/406,29173
Whitesboro,Grayson,4291,62678,33.6562183,-96.906948,"[33.6562183, -96.906948]",east,https://directory.tml.org/profile/city/609,39261
Mathis,San Patricio,4282,58227,28.0944558,-97.8280543,"[28.0944558, -97.8280543]",east,https://directory.tml.org/profile/city/872,34696
Bellville,Austin,4209,68150,29.9502253,-96.2571858,"[29.9502253, -96.2571858]",east,https://directory.tml.org/profile/city/1325,46051
Nash,Bowie,4166,52934,33.4423462,-94.130747,"[33.4423462, -94.130747]",east,https://directory.tml.org/profile/city/917,40505
Smithville,Bastrop,4130,72809,30.0085542,-97.1594321,"[30.0085542, -97.1594321]",east,https://directory.tml.org/profile/city/666,35887
Farmersville,Collin,4015,102119,33.1634493,-96.3599821,"[33.1634493, -96.3599821]",east,https://directory.tml.org/profile/city/1072,41461
Wills Point,Van Zandt,3933,59929,32.7092955,-96.0083018,"[32.7092955, -96.0083018]",east,https://directory.tml.org/profile/city/562,34561
Sullivan City,Hidalgo,3903,44260,26.2775706,-98.563633,"[26.2775706, -98.563633]",east,https://directory.tml.org/profile/city/1474,26231
Columbus,Colorado,3714,62004,29.7066232,-96.5396933,"[29.7066232, -96.5396933]",east,https://directory.tml.org/profile/city/1198,41833
Cockrell Hill,Dallas,3686,63549,32.7362421,-96.8869481,"[32.7362421, -96.8869481]",east,https://directory.tml.org/profile/city/1191,39139
San Diego,Duval,3655,37921,27.7639145,-98.2388953,"[27.7639145, -98.2388953]",east,https://directory.tml.org/profile/city/628,24260
Groesbeck,Limestone,3622,50381,31.5243379,-96.5338693,"[31.5243379, -96.5338693]",east,https://directory.tml.org/profile/city/1133,38238
West Columbia,Brazoria,3597,82165,29.1438582,-95.6452249,"[29.1438582, -95.6452249]",east,https://directory.tml.org/profile/city/414,52537
Winnsboro,Wood,3562,53485,32.9573449,-95.2902224,"[32.9573449, -95.2902224]",east,https://directory.tml.org/profile/city/565,35962
Sweeny,Brazoria,3556,82165,29.0388615,-95.6985608,"[29.0388615, -95.6985608]",east,https://directory.tml.org/profile/city/698,45400
Clifton,Bosque,3513,56041,31.7823798,-97.5766862,"[31.7823798, -97.5766862]",east,https://directory.tml.org/profile/city/1188,43618
Caddo Mills,Hunt,3502,58326,33.064166,-96.2284132,"[33.064166, -96.2284132]",east,https://directory.tml.org/profile/city/55,53269
Teague,Freestone,3455,48397,31.6271145,-96.283862,"[31.6271145, -96.283862]",east,https://directory.tml.org/profile/city/705,46526
Eagle Lake,Colorado,3453,62004,29.5896836,-96.3335769,"[29.5896836, -96.3335769]",east,https://directory.tml.org/profile/city/1256,36696
Kenedy,Karnes,3432,48470,28.8191468,-97.8486123,"[28.8191468, -97.8486123]",east,https://directory.tml.org/profile/city/1006,43072
West Orange,Orange,3414,65908,30.0821548,-93.7582223,"[30.0821548, -93.7582223]",east,https://directory.tml.org/profile/city/547,42065
Jarrell,Williamson,3410,96653,30.824616,-97.6043608,"[30.824616, -97.6043608]",east,https://directory.tml.org/profile/city/353,52833
Magnolia,Montgomery,3349,87831,30.2093794,-95.7507815,"[30.2093794, -95.7507815]",east,https://directory.tml.org/profile/city/859,39167
Port Aransas,Nueces,3277,59337,27.8339158,-97.0610994,"[27.8339158, -97.0610994]",east,https://directory.tml.org/profile/city/771,42224
Grand Saline,Van Zandt,3219,59929,32.6734636,-95.7094069,"[32.6734636, -95.7094069]",east,https://directory.tml.org/profile/city/1125,31696
Onalaska,Polk,3205,50827,30.814491,-95.1033038,"[30.814491, -95.1033038]",east,https://directory.tml.org/profile/city/950,31714
Waller,Waller,3117,65437,30.0566085,-95.9268986,"[30.0566085, -95.9268986]",east,https://directory.tml.org/profile/city/464,48684
Karnes City,Karnes,3112,48470,28.8849772,-97.9008355,"[28.8849772, -97.9008355]",east,https://directory.tml.org/profile/city/999,31685
Bishop,Nueces,3101,59337,27.5861441,-97.7991636,"[27.5861441, -97.7991636]",east,https://directory.tml.org/profile/city/1335,51667
Lytle,Atascosa,3052,57905,29.233294,-98.7964137,"[29.233294, -98.7964137]",east,https://directory.tml.org/profile/city/856,42010
La Villa,Hidalgo,3004,44260,26.2986827,-97.9286117,"[26.2986827, -97.9286117]",east,https://directory.tml.org/profile/city/1930,23380
Poteet,Atascosa,2948,57905,29.0405241,-98.5680739,"[29.0405241, -98.5680739]",east,https://directory.tml.org/profile/city/778,37634
Fairfield,Freestone,2901,48397,31.7246128,-96.1652481,"[31.7246128, -96.1652481]",east,https://directory.tml.org/profile/city/1068,45417
Ferris,Ellis,2893,87698,32.5340262,-96.6655488,"[32.5340262, -96.6655488]",east,https://directory.tml.org/profile/city/1076,46295
Taft,San Patricio,2869,58227,27.9789074,-97.3986041,"[27.9789074, -97.3986041]",east,https://directory.tml.org/profile/city/700,35441
Brazoria,Brazoria,2840,82165,29.0444147,-95.5691126,"[29.0444147, -95.5691126]",east,https://directory.tml.org/profile/city/1353,46397
Clarksville,Red River,2833,46134,33.6106648,-95.052722,"[33.6106648, -95.052722]",east,https://directory.tml.org/profile/city/1182,17861
Van,Van Zandt,2816,59929,32.5248605,-95.6371839,"[32.5248605, -95.6371839]",east,https://directory.tml.org/profile/city/1066,42560
Hallettsville,Lavaca,2733,54421,29.4438528,-96.9410929,"[29.4438528, -96.9410929]",east,https://directory.tml.org/profile/city/1140,30296
Troy,Bell,2727,58878,31.2068421,-97.3027824,"[31.2068421, -97.3027824]",east,https://directory.tml.org/profile/city/734,47639
Schulenburg,Fayette,2718,64711,29.6819003,-96.9030365,"[29.6819003, -96.9030365]",east,https://directory.tml.org/profile/city/641,35200
Balcones Heights,Bexar,2711,63014,29.489263,-98.5506185,"[29.489263, -98.5506185]",east,https://directory.tml.org/profile/city/1308,29824
Edcouch,Hidalgo,2693,44260,26.2939604,-97.9605574,"[26.2939604, -97.9605574]",east,https://directory.tml.org/profile/city/400,19489
Godley,Johnson,2674,76226,32.449029,-97.5266886,"[32.449029, -97.5266886]",east,https://directory.tml.org/profile/city/1113,47500
Westworth Village,Tarrant,2635,71399,32.7604796,-97.4246158,"[32.7604796, -97.4246158]",east,https://directory.tml.org/profile/city/1735,53519
West,McLennan,2575,58524,31.8023057,-97.0909551,"[31.8023057, -97.0909551]",east,https://directory.tml.org/profile/city/1107,33953
Escobares,Starr,2572,33535,26.4106186,-98.9625293,"[26.4106186, -98.9625293]",east,https://directory.tml.org/profile/city/28576,19867
Daingerfield,Morris,2518,44957,33.031793,-94.7218731,"[33.031793, -94.7218731]",east,https://directory.tml.org/profile/city/1224,37587
Hooks,Bowie,2494,52934,33.4662328,-94.2885306,"[33.4662328, -94.2885306]",east,https://directory.tml.org/profile/city/959,39853
El Cenizo,Webb,2451,50865,27.3321558,-99.5037134,"[27.3321558, -99.5037134]",east,https://directory.tml.org/profile/city/1490,21205
Montgomery,Montgomery,2445,87831,30.3882613,-95.6963355,"[30.3882613, -95.6963355]",east,https://directory.tml.org/profile/city/899,43125
Premont,Jim Wells,2429,43852,27.3605947,-98.1236151,"[27.3605947, -98.1236151]",east,https://directory.tml.org/profile/city/782,28842
Trinity,Trinity,2417,46569,30.9463502,-95.3733874,"[30.9463502, -95.3733874]",east,https://directory.tml.org/profile/city/731,33224
Freer,Duval,2390,37921,27.8827965,-98.6177929,"[27.8827965, -98.6177929]",east,https://directory.tml.org/profile/city/1658,51875
Nixon,Gonzales,2378,48164,29.267464,-97.7644429,"[29.267464, -97.7644429]",east,https://directory.tml.org/profile/city/933,29154
Blue Mound,Tarrant,2331,71399,32.8565166,-97.3389061,"[32.8565166, -97.3389061]",east,https://directory.tml.org/profile/city/1340,51208
Overton,Rusk,2296,53186,32.2745983,-94.9785515,"[32.2745983, -94.9785515]",east,https://directory.tml.org/profile/city/737,37760
Elmendorf,Bexar,2264,63014,29.2561693,-98.3331345,"[29.2561693, -98.3331345]",east,https://directory.tml.org/profile/city/1275,48000
Odem,San Patricio,2250,58227,27.9505741,-97.5822172,"[27.9505741, -97.5822172]",east,https://directory.tml.org/profile/city/942,48676
East Bernard,Wharton,2243,56522,29.5310744,-96.0710696,"[29.5310744, -96.0710696]",east,https://directory.tml.org/profile/city/230,50326
Malakoff,Henderson,2243,50348,32.1695965,-96.0124678,"[32.1695965, -96.0124678]",east,https://directory.tml.org/profile/city/860,26831
Tool,Henderson,2243,50348,32.2679247,-96.170252,"[32.2679247, -96.170252]",east,https://directory.tml.org/profile/city/727,40673
Lyford,Willacy,2239,37087,26.4122916,-97.7897176,"[26.4122916, -97.7897176]",east,https://directory.tml.org/profile/city/855,33125
Arcola,Fort Bend,2236,98070,29.4960702,-95.4657756,"[29.4960702, -95.4657756]",east,https://directory.tml.org/profile/city/1293,50536
Pinehurst,Orange,2206,65908,30.1071543,-93.7746117,"[30.1071543, -93.7746117]",east,https://directory.tml.org/profile/city/762,33906
Rio Hondo,Cameron,2176,46436,26.2353516,-97.5819319,"[26.2353516, -97.5819319]",east,https://directory.tml.org/profile/city/808,35903
Shiner,Lavaca,2173,54421,29.4291304,-97.1705425,"[29.4291304, -97.1705425]",east,https://directory.tml.org/profile/city/659,44732
George West,Live Oak,2159,52910,28.3325002,-98.1175054,"[28.3325002, -98.1175054]",east,https://directory.tml.org/profile/city/1107,44250
Kountze,Hardin,2155,67183,30.3715975,-94.3124116,"[30.3715975, -94.3124116]",east,https://directory.tml.org/profile/city/1016,34750
Weimar,Colorado,2092,62004,29.7027251,-96.7807575,"[29.7027251, -96.7807575]",east,https://directory.tml.org/profile/city/542,43837
Troup,Smith,2079,62903,32.1446035,-95.1205003,"[32.1446035, -95.1205003]",east,https://directory.tml.org/profile/city/733,28500
Leonard,Fannin,2055,56794,33.3795549,-96.2474785,"[33.3795549, -96.2474785]",east,https://directory.tml.org/profile/city/1043,36642
Huntington,Angelina,2051,50620,31.2776969,-94.5770539,"[31.2776969, -94.5770539]",east,https://directory.tml.org/profile/city/968,28920
Bertram,Burnet,2016,72510,30.7437957,-98.0555763,"[30.7437957, -98.0555763]",east,https://directory.tml.org/profile/city/1330,50000
Kirbyville,Jasper,2015,50038,30.658698,-93.8939722,"[30.658698, -93.8939722]",east,https://directory.tml.org/profile/city/1013,23534
Ganado,Jackson,1994,60666,29.0405363,-96.5135831,"[29.0405363, -96.5135831]",east,https://directory.tml.org/profile/city/1100,35500
Shepherd,San Jacinto,1985,52302,30.4977012,-94.9966213,"[30.4977012, -94.9966213]",east,https://directory.tml.org/profile/city/657,36058
Quitman,Wood,1983,53485,32.7959605,-95.4510641,"[32.7959605, -95.4510641]",east,https://directory.tml.org/profile/city/792,35875
Cooper,Delta,1982,50329,33.3734427,-95.6882925,"[33.3734427, -95.6882925]",east,https://directory.tml.org/profile/city/1204,29846
West Tawakoni,Hunt,1971,58326,32.9035592,-96.0381128,"[32.9035592, -96.0381128]",east,https://directory.tml.org/profile/city/548,37250
Anahuac,Chambers,1956,89767,29.7730001,-94.6826961,"[29.7730001, -94.6826961]",east,https://directory.tml.org/profile/city/1283,48125
Waskom,Harrison,1933,56645,32.4787644,-94.0596305,"[32.4787644, -94.0596305]",east,https://directory.tml.org/profile/city/537,46750
Grandview,Johnson,1904,76226,32.2704245,-97.1791759,"[32.2704245, -97.1791759]",east,https://directory.tml.org/profile/city/1126,42639
San Augustine,San Augustine,1885,43335,31.5296413,-94.1119678,"[31.5296413, -94.1119678]",east,https://directory.tml.org/profile/city/626,25072
Blanco,Blanco,1883,69247,30.0979862,-98.4214095,"[30.0979862, -98.4214095]",east,https://directory.tml.org/profile/city/1336,40222
Beverly Hills,McLennan,1871,58524,31.5215557,-97.1538919,"[31.5215557, -97.1538919]",east,https://directory.tml.org/profile/city/1331,33833
Splendora,Montgomery,1867,87831,30.2329914,-95.1610438,"[30.2329914, -95.1610438]",east,https://directory.tml.org/profile/city/677,35865
Jefferson,Marion,1850,43178,32.7573626,-94.3451926,"[32.7573626, -94.3451926]",east,https://directory.tml.org/profile/city/989,32361
Mart,McLennan,1846,58524,31.5423911,-96.8336015,"[31.5423911, -96.8336015]",east,https://directory.tml.org/profile/city/419,34514
Johnson City,Blanco,1826,69247,30.2767408,-98.4119811,"[30.2767408, -98.4119811]",east,https://directory.tml.org/profile/city/993,37500
Buffalo,Leon,1821,51582,31.4637866,-96.0580197,"[31.4637866, -96.0580197]",east,https://directory.tml.org/profile/city/1368,41149
Sour Lake,Hardin,1821,67183,30.1402122,-94.4110239,"[30.1402122, -94.4110239]",east,https://directory.tml.org/profile/city/671,41450
Linden,Cass,1814,42896,33.0123537,-94.3654707,"[33.0123537, -94.3654707]",east,https://directory.tml.org/profile/city/1051,23676
Patton Village,Montgomery,1806,87831,30.1947464,-95.1731446,"[30.1947464, -95.1731446]",east,https://directory.tml.org/profile/city/751,37279
Somerset,Bexar,1800,63014,29.2261908,-98.6576938,"[29.2261908, -98.6576938]",east,https://directory.tml.org/profile/city/668,46406
Yorktown,DeWitt,1789,54279,28.9810888,-97.5027719,"[28.9810888, -97.5027719]",east,https://directory.tml.org/profile/city/577,37368
Itasca,Hill,1767,52495,32.1595947,-97.1500074,"[32.1595947, -97.1500074]",east,https://directory.tml.org/profile/city/983,43264
Honey Grove,Fannin,1760,56794,33.5834377,-95.9099681,"[33.5834377, -95.9099681]",east,https://directory.tml.org/profile/city/958,31667
Uhland,Hays,1751,79336,29.9577184,-97.7861137,"[29.9577184, -97.7861137]",east,https://directory.tml.org/profile/city/1573,38199
Gregory,San Patricio,1731,58227,27.9222444,-97.2899915,"[27.9222444, -97.2899915]",east,https://directory.tml.org/profile/city/1132,39018
Franklin,Robertson,1728,50816,31.0260194,-96.4852444,"[31.0260194, -96.4852444]",east,https://directory.tml.org/profile/city/1087,36719
Goliad,Goliad,1683,58937,28.6683252,-97.3883265,"[28.6683252, -97.3883265]",east,https://directory.tml.org/profile/city/1115,48438
