municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile
Roanoke,Denton,9943,98027,33.0040126,-97.2258483,"[33.0040126, -97.2258483]",east,https://directory.tml.org/profile/city/812
Sanger,Denton,9721,98027,33.3631705,-97.1739027,"[33.3631705, -97.1739027]",east,https://directory.tml.org/profile/city/630
Lago Vista,Travis,9692,84519,30.4601975,-97.9883477,"[30.4601975, -97.9883477]",east,https://directory.tml.org/profile/city/1022
Vidor,Orange,9678,65908,30.1316001,-94.0154541,"[30.1316001, -94.0154541]",east,https://directory.tml.org/profile/city/530
Helotes,Bexar,9597,63014,29.5611837,-98.6802212,"[29.5611837, -98.6802212]",east,https://directory.tml.org/profile/city/619
Woodway,McLennan,9585,58524,31.5059998,-97.2050055,"[31.5059998, -97.2050055]",east,https://directory.tml.org/profile/city/572
Bridge City,Orange,9574,65908,30.0207678,-93.8457255,"[30.0207678, -93.8457255]",east,https://directory.tml.org/profile/city/1359
Dayton,Liberty,9375,57174,30.0466051,-94.8852026,"[30.0466051, -94.8852026]",east,https://directory.tml.org/profile/city/1231
Kennedale,Tarrant,9329,71399,32.646801,-97.2258465,"[32.646801, -97.2258465]",east,https://directory.tml.org/profile/city/1007
Jacinto City,Harris,9318,63539,29.7677258,-95.2338319,"[29.7677258, -95.2338319]",east,https://directory.tml.org/profile/city/984
Commerce,Hunt,9282,58326,33.2472808,-95.9114704,"[33.2472808, -95.9114704]",east,https://directory.tml.org/profile/city/1200
Whitehouse,Smith,9154,62903,32.2268212,-95.2255041,"[32.2268212, -95.2255041]",east,https://directory.tml.org/profile/city/554
Liberty Hill,Williamson,9099,96653,30.6649119,-97.9225161,"[30.6649119, -97.9225161]",east,https://directory.tml.org/profile/city/472
Mont Belvieu,Chambers,8946,89767,29.8477222,-94.890758,"[29.8477222, -94.890758]",east,https://directory.tml.org/profile/city/898
Bee Cave,Travis,8853,84519,30.306098,-97.9523768,"[30.306098, -97.9523768]",east,https://directory.tml.org/profile/city/1440
Aransas Pass,Nueces,8779,59337,27.909532,-97.1505561,"[27.909532, -97.1505561]",east,https://directory.tml.org/profile/city/1291
Wharton,Wharton,8736,56522,29.3116366,-96.1027371,"[29.3116366, -96.1027371]",east,https://directory.tml.org/profile/city/550
Joshua,Johnson,8667,76226,32.4615291,-97.3880731,"[32.4615291, -97.3880731]",east,https://directory.tml.org/profile/city/995
Liberty,Liberty,8636,57174,30.057993,-94.7954783,"[30.057993, -94.7954783]",east,https://directory.tml.org/profile/city/1049
Hillsboro,Hill,8548,52495,32.0109886,-97.1300061,"[32.0109886, -97.1300061]",east,https://directory.tml.org/profile/city/1168
Cleveland,Liberty,8503,57174,30.34132,-95.0854885,"[30.34132, -95.0854885]",east,https://directory.tml.org/profile/city/1187
Lucas,Collin,8461,102119,33.0842854,-96.5766577,"[33.0842854, -96.5766577]",east,https://directory.tml.org/profile/city/463
Prairie View,Waller,8420,65437,30.0932737,-95.9877339,"[30.0932737, -95.9877339]",east,https://directory.tml.org/profile/city/781
Navasota,Grimes,8417,52540,30.3879845,-96.0877349,"[30.3879845, -96.0877349]",east,https://directory.tml.org/profile/city/920
Richland Hills,Tarrant,8407,71399,32.8091672,-97.2316869,"[32.8091672, -97.2316869]",east,https://directory.tml.org/profile/city/418
Kaufman,Kaufman,8388,73660,32.5890238,-96.3088693,"[32.5890238, -96.3088693]",east,https://directory.tml.org/profile/city/1001
Los Fresnos,Cameron,8215,46436,26.0717438,-97.4763733,"[26.0717438, -97.4763733]",east,https://directory.tml.org/profile/city/848
Cuero,DeWitt,8106,54279,29.0938652,-97.2891568,"[29.0938652, -97.2891568]",east,https://directory.tml.org/profile/city/1222
Kirby,Bexar,8087,63014,29.4596134,-98.3812895,"[29.4596134, -98.3812895]",east,https://directory.tml.org/profile/city/1012
Floresville,Wilson,8050,78794,29.1335781,-98.1561192,"[29.1335781, -98.1561192]",east,https://directory.tml.org/profile/city/1079
Aubrey,Denton,7966,98027,33.3042834,-96.986118,"[33.3042834, -96.986118]",east,https://directory.tml.org/profile/city/1300
Lake Dallas,Denton,7830,98027,33.1192875,-97.0255641,"[33.1192875, -97.0255641]",east,https://directory.tml.org/profile/city/1025
Hitchcock,Galveston,7642,77627,29.3482905,-95.0160368,"[29.3482905, -95.0160368]",east,https://directory.tml.org/profile/city/953
Jersey Village,Harris,7602,63539,29.887725,-95.5629984,"[29.887725, -95.5629984]",east,https://directory.tml.org/profile/city/990
Alamo Heights,Bexar,7530,63014,29.4830401,-98.4662358,"[29.4830401, -98.4662358]",east,https://directory.tml.org/profile/city/1717
River Oaks,Tarrant,7440,71399,32.7770737,-97.394463,"[32.7770737, -97.394463]",east,https://directory.tml.org/profile/city/810
Jasper,Jasper,7423,50038,30.920823,-93.9968812,"[30.920823, -93.9968812]",east,https://directory.tml.org/profile/city/988
Marble Falls,Burnet,7423,72510,30.5782297,-98.2729184,"[30.5782297, -98.2729184]",east,https://directory.tml.org/profile/city/865
Lacy-Lakeview,McLennan,7293,58524,31.629214,-97.1030391,"[31.629214, -97.1030391]",east,https://directory.tml.org/profile/city/1019
Gonzales,Gonzales,7196,48164,29.5016257,-97.4524926,"[29.5016257, -97.4524926]",east,https://directory.tml.org/profile/city/1116
Dripping Springs,Hays,7057,79336,30.1902067,-98.0866781,"[30.1902067, -98.0866781]",east,https://directory.tml.org/profile/city/617
Sealy,Austin,6956,68150,29.7807878,-96.1571833,"[29.7807878, -96.1571833]",east,https://directory.tml.org/profile/city/647
Josephine,Collin,6944,102119,33.0610411,-96.3094954,"[33.0610411, -96.3094954]",east,https://directory.tml.org/profile/city/994
Willis,Montgomery,6939,87831,30.4249276,-95.4799418,"[30.4249276, -95.4799418]",east,https://directory.tml.org/profile/city/561
Mexia,Limestone,6868,50381,31.6798895,-96.482203,"[31.6798895, -96.482203]",east,https://directory.tml.org/profile/city/888
Silsbee,Hardin,6864,67183,30.3490976,-94.1779624,"[30.3490976, -94.1779624]",east,https://directory.tml.org/profile/city/661
La Feria,Cameron,6805,46436,26.1591043,-97.824093,"[26.1591043, -97.824093]",east,https://directory.tml.org/profile/city/1021
Nolanville,Bell,6745,58878,31.0787888,-97.6055693,"[31.0787888, -97.6055693]",east,https://directory.tml.org/profile/city/935
Keene,Johnson,6728,76226,32.3968092,-97.3239042,"[32.3968092, -97.3239042]",east,https://directory.tml.org/profile/city/1002
Burnet,Burnet,6710,72510,30.7582376,-98.2283585,"[30.7582376, -98.2283585]",east,https://directory.tml.org/profile/city/1370
Lindale,Smith,6660,62903,32.5156971,-95.4093998,"[32.5156971, -95.4093998]",east,https://directory.tml.org/profile/city/1050
Carthage,Panola,6562,54244,32.1573841,-94.3374199,"[32.1573841, -94.3374199]",east,https://directory.tml.org/profile/city/1386
Lavon,Collin,6517,102119,33.0276193,-96.4341524,"[33.0276193, -96.4341524]",east,https://directory.tml.org/profile/city/428
Gun Barrel City,Henderson,6506,50348,32.3309699,-96.1515623,"[32.3309699, -96.1515623]",east,https://directory.tml.org/profile/city/1136
Bulverde,Comal,6494,93487,29.7979343,-98.422892,"[29.7979343, -98.422892]",east,https://directory.tml.org/profile/city/460
Peñitas,Hidalgo,6340,44260,26.2306281,-98.4447412,"[26.2306281, -98.4447412]",east,https://directory.tml.org/profile/city/1450
Crockett,Houston,6307,45603,31.3177591,-95.4571905,"[31.3177591, -95.4571905]",east,https://directory.tml.org/profile/city/1216
Gladewater,Gregg,6230,57608,32.5365333,-94.9427168,"[32.5365333, -94.9427168]",east,https://directory.tml.org/profile/city/1110
White Oak,Gregg,6227,57608,32.5279235,-94.8613258,"[32.5279235, -94.8613258]",east,https://directory.tml.org/profile/city/555
Hempstead,Waller,6179,65437,30.0974405,-96.0782918,"[30.0974405, -96.0782918]",east,https://directory.tml.org/profile/city/1157
Van Alstyne,Grayson,6139,62678,33.4214995,-96.5772109,"[33.4214995, -96.5772109]",east,https://directory.tml.org/profile/city/524
Parker,Collin,6073,102119,33.0553975,-96.6219376,"[33.0553975, -96.6219376]",east,https://directory.tml.org/profile/city/1765
Krum,Denton,6062,98027,33.2615068,-97.2380725,"[33.2615068, -97.2380725]",east,https://directory.tml.org/profile/city/426
Edna,Jackson,6009,60666,28.9785947,-96.6460877,"[28.9785947, -96.6460877]",east,https://directory.tml.org/profile/city/1268
Oak Point,Denton,6009,98027,33.1901194,-96.991674,"[33.1901194, -96.991674]",east,https://directory.tml.org/profile/city/939
Everman,Tarrant,5998,71399,32.630968,-97.2891817,"[32.630968, -97.2891817]",east,https://directory.tml.org/profile/city/1067
Alvarado,Johnson,5910,76226,32.4065312,-97.2116782,"[32.4065312, -97.2116782]",east,https://directory.tml.org/profile/city/1723
Yoakum,Lavaca,5891,54421,29.2877469,-97.151931,"[29.2877469, -97.151931]",east,https://directory.tml.org/profile/city/576
Wake Village,Bowie,5841,52934,33.4267911,-94.1063014,"[33.4267911, -94.1063014]",east,https://directory.tml.org/profile/city/533
Wilmer,Dallas,5833,63549,32.5971558,-96.6872571,"[32.5971558, -96.6872571]",east,https://directory.tml.org/profile/city/563
Windcrest,Bexar,5799,63014,29.5167965,-98.3812185,"[29.5167965, -98.3812185]",east,https://directory.tml.org/profile/city/606
McGregor,McLennan,5763,58524,31.4440557,-97.4091792,"[31.4440557, -97.4091792]",east,https://directory.tml.org/profile/city/876
Elsa,Hidalgo,5664,44260,26.2934048,-97.9930588,"[26.2934048, -97.9930588]",east,https://directory.tml.org/profile/city/1277
Hutchins,Dallas,5614,63549,32.6492999,-96.7130521,"[32.6492999, -96.7130521]",east,https://directory.tml.org/profile/city/971
Justin,Denton,5597,98027,33.0848442,-97.2961286,"[33.0848442, -97.2961286]",east,https://directory.tml.org/profile/city/998
Luling,Caldwell,5545,60063,29.6805066,-97.647498,"[29.6805066, -97.647498]",east,https://directory.tml.org/profile/city/854
Brookshire,Waller,5533,65437,29.7860643,-95.9510661,"[29.7860643, -95.9510661]",east,https://directory.tml.org/profile/city/620
Rockdale,Milam,5529,53320,30.6554759,-97.0013744,"[30.6554759, -97.0013744]",east,https://directory.tml.org/profile/city/816
Sinton,San Patricio,5510,58227,28.0366818,-97.5091611,"[28.0366818, -97.5091611]",east,https://directory.tml.org/profile/city/663
Argyle,Denton,5503,98027,33.1212321,-97.1833475,"[33.1212321, -97.1833475]",east,https://directory.tml.org/profile/city/1294
Marlin,Falls,5474,46173,31.3062874,-96.8980439,"[31.3062874, -96.8980439]",east,https://directory.tml.org/profile/city/868
Rusk,Cherokee,5433,48664,31.7960064,-95.1502214,"[31.7960064, -95.1502214]",east,https://directory.tml.org/profile/city/835
Atlanta,Cass,5427,42896,33.1137419,-94.1643537,"[33.1137419, -94.1643537]",east,https://directory.tml.org/profile/city/1299
Cameron,Milam,5418,53320,30.8532454,-96.9769304,"[30.8532454, -96.9769304]",east,https://directory.tml.org/profile/city/1378
Sansom Park,Tarrant,5359,71399,32.8059619,-97.4030744,"[32.8059619, -97.4030744]",east,https://directory.tml.org/profile/city/635
Sandy Oaks[b],Bexar,5354,63014,29.1828583,-98.4070316,"[29.1828583, -98.4070316]",east,https://directory.tml.org/profile/city/69559
Nassau Bay,Harris,5164,63539,29.5446753,-95.0910413,"[29.5446753, -95.0910413]",east,https://directory.tml.org/profile/city/918
Center,Shelby,5147,43244,31.7952962,-94.1802599,"[31.7952962, -94.1802599]",east,https://directory.tml.org/profile/city/412
Giddings,Lee,5129,59469,30.1827159,-96.936371,"[30.1827159, -96.936371]",east,https://directory.tml.org/profile/city/1108
Port Isabel,Cameron,5108,46436,26.0734119,-97.2085844,"[26.0734119, -97.2085844]",east,https://directory.tml.org/profile/city/773
Hudson,Angelina,5107,50620,31.3295214,-94.7820591,"[31.3295214, -94.7820591]",east,https://directory.tml.org/profile/city/964
Terrell Hills,Bexar,5048,63014,29.4749178,-98.451232,"[29.4749178, -98.451232]",east,https://directory.tml.org/profile/city/710
Gilmer,Upshur,5029,51634,32.7287472,-94.9424379,"[32.7287472, -94.9424379]",east,https://directory.tml.org/profile/city/1109
Mineola,Wood,5017,53485,32.6631884,-95.4882896,"[32.6631884, -95.4882896]",east,https://directory.tml.org/profile/city/893
Progreso,Hidalgo,4952,44260,26.0922991,-97.9572242,"[26.0922991, -97.9572242]",east,https://directory.tml.org/profile/city/1738
Pilot Point,Denton,4886,98027,33.396503,-96.9605608,"[33.396503, -96.9605608]",east,https://directory.tml.org/profile/city/760
Morgan's Point Resort,Bell,4772,58878,31.1483719,-97.463555,"[31.1483719, -97.463555]",east,https://directory.tml.org/profile/city/904
Richwood,Brazoria,4760,82165,29.0560789,-95.4099403,"[29.0560789, -95.4099403]",east,https://directory.tml.org/profile/city/807
Lake Worth,Tarrant,4667,71399,32.8097891,-97.4427659,"[32.8097891, -97.4427659]",east,https://directory.tml.org/profile/city/1033
La Joya,Hidalgo,4660,44260,26.2470165,-98.4814092,"[26.2470165, -98.4814092]",east,https://directory.tml.org/profile/city/1929
Meadows Place,Fort Bend,4649,98070,29.6513643,-95.5880883,"[29.6513643, -95.5880883]",east,https://directory.tml.org/profile/city/879
Hallsville,Harrison,4644,56645,32.504316,-94.5740934,"[32.504316, -94.5740934]",east,https://directory.tml.org/profile/city/1142
Crandall,Kaufman,4641,73660,32.6279113,-96.4558196,"[32.6279113, -96.4558196]",east,https://directory.tml.org/profile/city/1213
Madisonville,Madison,4564,48251,30.9499111,-95.9116188,"[30.9499111, -95.9116188]",east,https://directory.tml.org/profile/city/858
Canton,Van Zandt,4561,59929,32.5565244,-95.8632996,"[32.5565244, -95.8632996]",east,https://directory.tml.org/profile/city/1381
Diboll,Angelina,4560,50620,31.1922292,-94.7807858,"[31.1922292, -94.7807858]",east,https://directory.tml.org/profile/city/1245
New Boston,Bowie,4550,52934,33.4598415,-94.4154787,"[33.4598415, -94.4154787]",east,https://directory.tml.org/profile/city/925
Hearne,Robertson,4538,50816,30.8785238,-96.5930258,"[30.8785238, -96.5930258]",east,https://directory.tml.org/profile/city/1152
Falfurrias,Brooks,4461,33460,27.2269872,-98.1441714,"[27.2269872, -98.1441714]",east,https://directory.tml.org/profile/city/1069
La Grange,Fayette,4449,64711,29.9055033,-96.876647,"[29.9055033, -96.876647]",east,https://directory.tml.org/profile/city/1023
McLendon-Chisholm,Rockwall,4431,120696,32.8423475,-96.3805389,"[32.8423475, -96.3805389]",east,https://directory.tml.org/profile/city/1970
Pittsburg,Camp,4416,51024,32.9954021,-94.9657688,"[32.9954021, -94.9657688]",east,https://directory.tml.org/profile/city/764
Ovilla,Ellis,4400,87698,32.5265264,-96.8863898,"[32.5265264, -96.8863898]",east,https://directory.tml.org/profile/city/738
Palacios,Matagorda,4357,50054,28.7080461,-96.217467,"[28.7080461, -96.217467]",east,https://directory.tml.org/profile/city/461
Caldwell,Burleson,4350,57469,30.5313152,-96.6930303,"[30.5313152, -96.6930303]",east,https://directory.tml.org/profile/city/1375
Garden Ridge,Comal,4334,93487,29.6382116,-98.3009201,"[29.6382116, -98.3009201]",east,https://directory.tml.org/profile/city/1101
Hunters Creek Village,Harris,4334,63539,29.7655848,-95.5011663,"[29.7655848, -95.5011663]",east,https://directory.tml.org/profile/city/1438
Rio Bravo,Webb,4326,50865,27.3641887,-99.4800415,"[27.3641887, -99.4800415]",east,https://directory.tml.org/profile/city/406
Whitesboro,Grayson,4291,62678,33.6562183,-96.906948,"[33.6562183, -96.906948]",east,https://directory.tml.org/profile/city/609
Mathis,San Patricio,4282,58227,28.0944558,-97.8280543,"[28.0944558, -97.8280543]",east,https://directory.tml.org/profile/city/872
Jourdanton,Atascosa,4260,57905,28.9180294,-98.5464068,"[28.9180294, -98.5464068]",east,https://directory.tml.org/profile/city/996
Spring Valley Village,Harris,4260,63539,29.7938357,-95.5004012,"[29.7938357, -95.5004012]",east,https://directory.tml.org/profile/city/679
Bellville,Austin,4209,68150,29.9502253,-96.2571858,"[29.9502253, -96.2571858]",east,https://directory.tml.org/profile/city/1325
Weston Lakes,Fort Bend,4192,98070,29.6693522,-95.9343664,"[29.6693522, -95.9343664]",east,https://directory.tml.org/profile/city/34211
Nash,Bowie,4166,52934,33.4423462,-94.130747,"[33.4423462, -94.130747]",east,https://directory.tml.org/profile/city/917
Smithville,Bastrop,4130,72809,30.0085542,-97.1594321,"[30.0085542, -97.1594321]",east,https://directory.tml.org/profile/city/666
Farmersville,Collin,4015,102119,33.1634493,-96.3599821,"[33.1634493, -96.3599821]",east,https://directory.tml.org/profile/city/1072
Wills Point,Van Zandt,3933,59929,32.7092955,-96.0083018,"[32.7092955, -96.0083018]",east,https://directory.tml.org/profile/city/562
Castle Hills,Bexar,3932,63014,29.5328603,-98.5225213,"[29.5328603, -98.5225213]",east,https://directory.tml.org/profile/city/1387
Sullivan City,Hidalgo,3903,44260,26.2775706,-98.563633,"[26.2775706, -98.563633]",east,https://directory.tml.org/profile/city/1474
Bunker Hill Village,Harris,3776,63539,29.7674508,-95.5299427,"[29.7674508, -95.5299427]",east,https://directory.tml.org/profile/city/1369
Columbus,Colorado,3714,62004,29.7066232,-96.5396933,"[29.7066232, -96.5396933]",east,https://directory.tml.org/profile/city/1198
Taylor Lake Village,Harris,3696,63539,29.5752298,-95.0502069,"[29.5752298, -95.0502069]",east,https://directory.tml.org/profile/city/704
Cockrell Hill,Dallas,3686,63549,32.7362421,-96.8869481,"[32.7362421, -96.8869481]",east,https://directory.tml.org/profile/city/1191
Shenandoah,Montgomery,3665,87831,30.1802151,-95.4557726,"[30.1802151, -95.4557726]",east,https://directory.tml.org/profile/city/656
San Diego,Duval,3655,37921,27.7639145,-98.2388953,"[27.7639145, -98.2388953]",east,https://directory.tml.org/profile/city/628
Shavano Park,Bexar,3626,63014,29.5847965,-98.5532616,"[29.5847965, -98.5532616]",east,https://directory.tml.org/profile/city/655
Groesbeck,Limestone,3622,50381,31.5243379,-96.5338693,"[31.5243379, -96.5338693]",east,https://directory.tml.org/profile/city/1133
West Columbia,Brazoria,3597,82165,29.1438582,-95.6452249,"[29.1438582, -95.6452249]",east,https://directory.tml.org/profile/city/414
Winnsboro,Wood,3562,53485,32.9573449,-95.2902224,"[32.9573449, -95.2902224]",east,https://directory.tml.org/profile/city/565
Sweeny,Brazoria,3556,82165,29.0388615,-95.6985608,"[29.0388615, -95.6985608]",east,https://directory.tml.org/profile/city/698
Clifton,Bosque,3513,56041,31.7823798,-97.5766862,"[31.7823798, -97.5766862]",east,https://directory.tml.org/profile/city/1188
Caddo Mills,Hunt,3502,58326,33.064166,-96.2284132,"[33.064166, -96.2284132]",east,https://directory.tml.org/profile/city/55
Chandler,Henderson,3476,50348,32.3079269,-95.479957,"[32.3079269, -95.479957]",east,https://directory.tml.org/profile/city/1173
Teague,Freestone,3455,48397,31.6271145,-96.283862,"[31.6271145, -96.283862]",east,https://directory.tml.org/profile/city/705
Eagle Lake,Colorado,3453,62004,29.5896836,-96.3335769,"[29.5896836, -96.3335769]",east,https://directory.tml.org/profile/city/1256
Kenedy,Karnes,3432,48470,28.8191468,-97.8486123,"[28.8191468, -97.8486123]",east,https://directory.tml.org/profile/city/1006
West Orange,Orange,3414,65908,30.0821548,-93.7582223,"[30.0821548, -93.7582223]",east,https://directory.tml.org/profile/city/547
Jarrell,Williamson,3410,96653,30.824616,-97.6043608,"[30.824616, -97.6043608]",east,https://directory.tml.org/profile/city/353
Haslet,Tarrant,3404,71399,32.9748469,-97.3477957,"[32.9748469, -97.3477957]",east,https://directory.tml.org/profile/city/1149
Magnolia,Montgomery,3349,87831,30.2093794,-95.7507815,"[30.2093794, -95.7507815]",east,https://directory.tml.org/profile/city/859
Hideaway,Smith,3296,62903,32.49042,-95.4574571,"[32.49042, -95.4574571]",east,https://directory.tml.org/profile/city/363
Port Aransas,Nueces,3277,59337,27.8339158,-97.0610994,"[27.8339158, -97.0610994]",east,https://directory.tml.org/profile/city/771
West Lake Hills,Travis,3252,84519,30.2979843,-97.8019515,"[30.2979843, -97.8019515]",east,https://directory.tml.org/profile/city/607
Beach City,Chambers,3230,89767,29.7381591,-94.8442859,"[29.7381591, -94.8442859]",east,https://directory.tml.org/profile/city/28
Grand Saline,Van Zandt,3219,59929,32.6734636,-95.7094069,"[32.6734636, -95.7094069]",east,https://directory.tml.org/profile/city/1125
Onalaska,Polk,3205,50827,30.814491,-95.1033038,"[30.814491, -95.1033038]",east,https://directory.tml.org/profile/city/950
Waller,Waller,3117,65437,30.0566085,-95.9268986,"[30.0566085, -95.9268986]",east,https://directory.tml.org/profile/city/464
Karnes City,Karnes,3112,48470,28.8849772,-97.9008355,"[28.8849772, -97.9008355]",east,https://directory.tml.org/profile/city/999
Bishop,Nueces,3101,59337,27.5861441,-97.7991636,"[27.5861441, -97.7991636]",east,https://directory.tml.org/profile/city/1335
Needville,Fort Bend,3091,98070,29.3994101,-95.8377297,"[29.3994101, -95.8377297]",east,https://directory.tml.org/profile/city/922
Piney Point Village,Harris,3075,63539,29.759951,-95.5171646,"[29.759951, -95.5171646]",east,https://directory.tml.org/profile/city/1732
Lytle,Atascosa,3052,57905,29.233294,-98.7964137,"[29.233294, -98.7964137]",east,https://directory.tml.org/profile/city/856
La Villa,Hidalgo,3004,44260,26.2986827,-97.9286117,"[26.2986827, -97.9286117]",east,https://directory.tml.org/profile/city/1930
Oak Ridge North,Montgomery,2995,87831,30.1571758,-95.4461148,"[30.1571758, -95.4461148]",east,https://directory.tml.org/profile/city/940
El Lago,Harris,2975,63539,29.5732685,-95.0429558,"[29.5732685, -95.0429558]",east,https://directory.tml.org/profile/city/1274
Poteet,Atascosa,2948,57905,29.0405241,-98.5680739,"[29.0405241, -98.5680739]",east,https://directory.tml.org/profile/city/778
